"x1","x2","y"
0.220703014677495,2.9297236517194,1
0.457587553852683,2.48427907953236,1
0.0167435056851227,3.32841714050155,1
0.617865324047684,3.75653394189849,1
0.740483512962028,1.56785670477459,1
-0.665409791887157,0.707896455003138,1
0.694781324271776,0.434567121560808,1
-0.779743499245222,3.14551667687312,1
-1.3264333704154,0.766678884215833,1
-0.809834304992003,-0.414854163413547,1
0.122307674435597,3.91991279179865,1
1.60619998638322,0.49208171944693,1
0.206258891062322,1.4169418961789,1
0.74164243841536,3.74536475900163,1
0.164952380842911,1.47831895727239,1
0.00817681555367469,4.11501707219187,1
0.804373427383913,-2.71740355269265,1
-0.793908863690394,0.931736538133643,1
0.688863341683912,2.68529277453412,1
-0.65637342778893,2.43823307009013,1
-0.276546087149433,-1.89239457417589,1
0.778940934038499,4.44668810037482,1
0.200423337851035,3.26199527542903,1
-1.20593944196952,1.29638075549789,1
0.346503536908302,1.53634377759561,1
-2.13828985637834,-0.824007721637667,1
1.62182110926889,-1.84610109685616,1
0.556505401081488,1.51556500946868,1
2.66765588669816,3.69039299575413,1
1.61298856384744,0.0768608405199382,1
-1.387429189024,1.02808362153384,1
-0.772680672324731,-0.12171104093231,1
-0.916137862399708,1.06915903231143,1
0.306145219594874,1.83919800973029,1
1.01129469112562,2.11520957829629,1
-0.746558981242962,4.3022789274022,1
0.344841435173538,2.32612797204908,1
-0.67809151962737,-0.852246787510106,1
-0.328726934163805,1.64642654634462,1
0.997128633653774,3.13101533576824,1
-1.84938923195281,3.52824057632521,1
-0.712601161625691,4.33637228923319,1
-0.16706300670469,2.34990064412726,1
-0.0362497772527047,0.801209411398998,1
-0.732766142978623,1.46317662453283,1
-1.61423800979359,-1.26230364737027,1
2.67792140624142,2.479442589594,1
-0.75747929994625,2.05199960266507,1
1.18993630944386,6.22030147230114,1
0.696304061993546,0.434108045960383,1
-1.59513361601435,4.11099671292495,1
-0.73964771924222,1.83001806021828,1
-0.789203108048729,0.872120597772194,1
1.07062524900509,2.15513290121046,1
0.385593739847866,2.91326699935435,1
-0.681083088283077,1.21749837702354,1
0.536530153052728,-1.78447910972166,1
-0.635676456270375,2.66136372694689,1
1.74905349467613,0.163559893142202,1
-0.478253590499303,-1.42158653640815,1
-0.55922790236622,1.63914468124129,1
-1.82385882386005,0.698154635351643,1
1.69398669369228,3.7240436352921,1
0.0682135623550133,2.01725737752846,1
-0.570938264089277,4.34748560511427,1
-0.839989429585775,2.89518217605812,1
1.04490872828805,-1.32744436372472,1
0.94403895621381,0.54980898372984,1
1.56734603868826,5.6861871753897,1
0.492250202057029,3.83325219999111,1
-0.289616011661406,0.931139036321667,1
-1.65243408583145,0.813066200895962,1
0.10444194988532,0.955943746074738,1
-0.864263234546304,-0.9429332130723,1
-0.279025414493512,1.69815134900033,1
-0.745660021848616,2.51465398498671,1
-1.47446003075947,-1.04060890378348,1
-0.363741641932329,4.45875196503276,1
-0.639957912476196,3.13526832306273,1
1.0976532996695,2.31006458660044,1
-1.26781751077531,2.10788686492648,1
1.14813699453917,-0.442788199749083,1
0.598815475399469,4.1151730184316,1
-0.599576667741658,0.155288334007222,1
0.705846715474848,3.03232728550314,1
-0.62301860810727,1.3724862127041,1
0.552960787240373,4.5392211244822,1
0.917691713336656,2.44499555863503,1
-0.91568346293641,5.27423696635426,1
-2.41580723237825,-2.17127702707548,1
0.712955520640544,0.442171903461159,1
0.311167024240054,0.0147452362691904,1
0.728676367363159,1.73927640511631,1
0.906300997909808,2.01825842055246,1
0.97948477244242,4.55299487377847,1
0.47518725764125,-1.08998059023275,1
0.745921568697949,0.618863763854294,1
-0.612776991822093,0.752952005481601,1
-0.52516718724402,0.542965507649771,1
-2.4915829370114,0.451458365231458,1
-0.775523666783198,-3.76323784555306,2
-3.21810050389804,-1.52119188667222,2
-3.11559712332572,-3.57834916964779,2
-0.241342903896842,-3.11807483458156,2
-2.81757456914003,-1.5400459114922,2
-2.86080161997581,-1.90089519618357,2
